average_entropy,average_policy_loss,average_value,average_value_loss,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.7080498,-0.0007127370142067472,-0.015774924,0.7468929539124171,83.3225806451613,10.0,69.11111111111111,10.0,-0.000701614748466417,3077,24,1.0,256,16384
2.7073216,-0.0008383037153786669,0.14082128,0.5860309603934487,285.20454545454544,5.681818,272.03225806451616,6.129032,0.009671295142439473,3684,48,2.0,512,32768
2.7022119,-0.0008977439073431823,0.22759058,0.620150762092736,329.67,4.8,317.97,5.2,0.03703112783812412,3735,72,3.0,768,49152
2.6947439,-0.001058438031274515,0.32364228,0.5574707196404537,323.84,4.8,308.1,5.4,0.05435462596698726,3693,96,4.0,1024,65536
2.6820383,-0.0016620902065187693,0.362273,0.5193248233199119,328.43,4.5,342.41,4.4,0.11527862856875248,3742,120,5.0,1280,81920
2.6867082,-0.0008975602453574538,0.4109574,0.5459383477270603,293.22,5.0,322.74,4.4,0.1613643643660524,3693,144,6.0,1536,98304
2.6676567,-0.0010679354378953577,0.5707195,0.5643810038268566,309.94,4.9,331.67,4.3,0.1705710835780514,3710,168,7.0,1792,114688
2.662854,-0.0016120399301871658,0.7138186,0.6111595132946968,290.21,5.7,321.26,4.9,0.15081471120879053,3688,192,8.0,2048,131072
2.6314437,-0.0013147066533565521,0.9666122,0.6223066091537476,309.66,5.3,317.18,5.0,0.19367192488528684,3723,216,9.0,2304,147456
2.6323886,-0.0012165453983470798,0.94728005,0.5742375335097313,320.6,5.0,312.73,4.7,0.26206168329876467,3686,240,10.0,2560,163840
2.6388457,-0.0016588885616511107,0.9351002,0.5130185544490814,327.37,4.6,328.2,4.4,0.28975457262379223,3726,264,11.0,2816,180224
2.6209486,-0.000927886008284986,1.0353225,0.43920192748308184,310.11,4.8,315.56,4.8,0.38909634323100484,3689,288,12.0,3072,196608
2.6105015,-0.0006992935435846448,1.1447686,0.37089695140719414,327.76,4.1,305.12,5.0,0.4569002096514174,3706,312,13.0,3328,212992
